Property_ID,Square_Feet,Bedrooms,Age_Years,Neighborhood,Has_Pool,Price_USD
PROP_1000,1660.0,4,48.0,Suburbs,No,295656
PROP_1001,2094.0,3,39.0,Suburbs,No,328726
PROP_1002,,4,29.0,Rural,No,343215
PROP_1003,1895.0,4,42.0,Suburbs,No,313386
PROP_1004,2438.0,2,26.0,Rural,Yes,382708
PROP_1005,,2,35.0,Suburbs,No,425610
PROP_1006,1266.0,2,25.0,Suburbs,No,229433
PROP_1007,2038.0,3,24.0,Downtown,No,371096
PROP_1008,1130.0,4,13.0,Downtown,No,316489
PROP_1009,2282.0,4,,Rural,No,426710
PROP_1010,2935.0,1,36.0,Downtown,No,403958
PROP_1011,930.0,3,45.0,Rural,No,190750
PROP_1012,2485.0,3,20.0,Suburbs,No,389260
PROP_1013,1569.0,2,1.0,Suburbs,Yes,325638
PROP_1014,3191.0,2,8.0,Downtown,No,506871
PROP_1015,2315.0,2,,Rural,Yes,325526
PROP_1016,3233.0,4,16.0,Rural,No,494346
PROP_1017,2015.0,2,14.0,Suburbs,No,325721
PROP_1018,1755.0,3,12.0,Suburbs,Yes,355095
PROP_1019,3124.0,3,23.0,Downtown,No,503715
PROP_1020,,2,15.0,Suburbs,No,329658
PROP_1021,1259.0,5,28.0,Rural,No,267557
PROP_1022,821.0,5,34.0,Rural,Yes,261728
PROP_1023,3100.0,2,2.0,Suburbs,No,451434
PROP_1024,,3,32.0,Downtown,No,307462
PROP_1025,1274.0,2,23.0,Downtown,No,270990
PROP_1026,1882.0,2,,Suburbs,No,286533
PROP_1027,3358.0,1,25.0,Rural,No,442191
PROP_1028,,3,22.0,Downtown,No,500334
PROP_1029,1775.0,3,22.0,Rural,No,302946
PROP_1030,2606.0,1,,Suburbs,No,341455
PROP_1031,989.0,2,42.0,Rural,No,151334
PROP_1032,1362.0,4,6.0,Suburbs,Yes,344187
PROP_1033,2699.0,2,15.0,Suburbs,Yes,457503
PROP_1034,2067.0,2,,Rural,No,259365
PROP_1035,2328.0,3,37.0,Suburbs,No,348006
PROP_1036,1446.0,5,33.0,Suburbs,No,317576
PROP_1037,2868.0,2,8.0,Rural,Yes,461514
PROP_1038,3014.0,3,44.0,Rural,Yes,469447
PROP_1039,2097.0,3,44.0,Downtown,Yes,389780
PROP_1040,3235.0,2,5.0,Downtown,No,528498
PROP_1041,1400.0,3,39.0,Suburbs,No,243864
PROP_1042,3163.0,2,4.0,Suburbs,No,492276
PROP_1043,2861.0,3,,Suburbs,No,464936
PROP_1044,,3,45.0,Downtown,No,245984
PROP_1045,2841.0,3,,Downtown,No,466341
PROP_1046,3412.0,1,30.0,Downtown,No,486125
PROP_1047,,4,47.0,Downtown,No,391671
PROP_1048,2939.0,2,35.0,Suburbs,No,416596
PROP_1049,2190.0,2,40.0,Suburbs,No,308485
PROP_1050,2278.0,1,16.0,Suburbs,No,333506
PROP_1051,3356.0,3,13.0,Downtown,No,588251
